ledger_id,tipo,veredicto,afirmacion,evidencia,accion_recomendada,prioridad,medido_sobre
R2-ADJ-tip-body,respuesta,objetado,"+TIP body -> spindle_apparatus no se sostiene: el extremo plus del microtubulo no es el huso, y la etiqueta hermana +TIP arrastra el mismo defecto al mismo canonico","6 filas: BIK1, BIM1, KAR9 de Saccharomyces cerevisiae y mal3, tea2, tip1 de Schizosaccharomyces pombe, todas proteinas de seguimiento del extremo plus. KAR9 y BIM1 participan del posicionamiento del huso, pero mal3, tea2 y tip1 actuan sobre microtubulos interfasicos, donde no hay huso. La etiqueta hermana +TIP aporta otras 3 filas al mismo canonico: 9 de las 93 filas de spindle_apparatus vienen de este error","Crear microtubule_plus_end y mover las 9 filas de +TIP y +TIP body. Es una sola tarea para las dos etiquetas, no dos",media,dfc00f2
R2-ADJ-leucocyte,respuesta,confirmado,"Leucocyte nuclear body -> nuclear_body es correcto, y el eje de tipo celular no recupera el calificativo perdido porque el conjunto de proteinas no es de leucocito","21 filas / 21 proteinas humanas: BRD4, MED1, DAXX, SPOP, EWSR1, TAF15, HNRNPA1, HNRNPD, MATR3, SNRNP70, ESR1, PGR, GATA3, LMNA, TP53BP1, SP140, HSPB2, HSPB3, HABP4, KHDRBS1, TIPARP. Todas son componentes genericos de cuerpo nuclear; la unica con especificidad leucocitaria es SP140. La etiqueta es el 7,7% de las 271 filas de nuclear_body",-,baja,dfc00f2
R2-DEC-axes,respuesta,adjudicado,"Cuatro ejes alcanzan y la recomendacion se sostiene, pero dos de sus cifras estan corridas: son 56 terminos no localizacionales y quedan cuatro sin eje, no tres","56 de las 177 entradas de mlo_vocabulary tienen una categoria que no es una localizacion: Germinal 16, Procariota 14, Neuronal 9 (ustedes dijeron 10), Viral 5, Vegetal 4 (dijeron 3), mas Mitotico, Nuclear/Mitotico, Autofagia, Secretor, In vitro, Patologico, Unspecified y Viral/Nuclear con 1 cada uno. Los terminos que ningun eje propuesto captura son cuatro: fip200_puncta, midbody_granule, liquid_dyrk3_speckle y mast_cell_granule (Secretor), que ademas es el mayor de los cuatro con 533 filas","Implementar los cuatro ejes. axes_classification.csv trae los cuatro valores para las 177 entradas: spatial_location cubre 176/177 (solo NotInformed queda unspecified), taxonomic_scope 176/177 (solo rho_body sin dato), physiological_state 177/177 y cell_type_context 34/177 por diseno. mast_cell_granule se recupera parcialmente por cell_type_context=mast_cell, pero el proceso secretor se pierde: si eso importa, functional_process deja de ser opcional",alta,dfc00f2
R1-ACT-06,respuesta,adjudicado,"La migracion de ejes es ejecutable hoy: los cuatro valores estan asignados para las 177 entradas, y solo dos terminos necesitan una decision humana",axes_classification.csv. El eje espacial se derivo de la categoria v6 donde esa categoria ya era una localizacion (121 terminos) y a mano desde la biologia del organulo donde no lo era (56). El eje taxonomico se derivo de los organismos anotados con un umbral del 80% para asignar un reino y etiquetas pan_ cuando ningun reino llega a ese umbral. Los unicos huecos son NotInformed en el eje espacial y rho_body en el taxonomico,"Adoptar axes_classification.csv como punto de partida de la migracion. Antes de servir el eje taxonomico, advertir que 63 de los 177 terminos lo apoyan en 2 proteinas o menos con organismo conocido: el valor es correcto pero fragil",alta,dfc00f2
R1-ACT-17,respuesta,adjudicado,"El eje taxonomico derivado resuelve refractile_body por si solo pero no rho_body: son una tarea y media, no una","refractile_body: su unica proteina es A0A220NKL4 (SO7 de Eimeria tenella), un apicomplejo, es decir un eucariota; el eje derivado da Protista y contradice automaticamente la categoria Procariota, sin necesidad de juicio biologico. rho_body: su unica proteina es R7KIR7, que esta borrada en UniProt (Not part of a reference proteome) y no tiene organismo en la tabla proteins, asi que el eje derivado da sin_dato. Detalle en taxonomic_axis_check.csv. El mismo procedimiento levanta un tercer caso que no estaba en la lista: twn_body esta en Vegetal y sus 3 proteinas (NRBP1, TSC22D2, WNK1) son humanas",Derivar el eje taxonomico cierra refractile_body y de paso twn_body. rho_body requiere recurar R7KIR7 a mano (su identificador retirado R7KIR7_BACT4 apunta a Bacteroidetes y el cuerpo de Rho se describio en Escherichia coli) o retirar el termino,media,dfc00f2
,nuevo,nuevo,"474 proteinas no tienen organismo en la tabla proteins, y para la mayoria el dato ya no es recuperable porque la accesion fue retirada de UniProt","474 de 15.879 filas de proteins tienen organism NULL, afectando 635 filas de mlo_annotations. Consultadas una por una contra rest.uniprot.org: 201 siguen activas y devuelven organismo (331 filas de anotacion recuperables), 189 estan DELETED y 84 DEMERGED. En una muestra aleatoria de 200 accesiones que si tienen organismo, ninguna resulto obsoleta, asi que el problema es especifico de este bloque y no una staleness general de la base. Detalle en proteins_sin_organismo_resueltas.csv","Recuperar el organismo de las 201 accesiones activas antes de derivar el eje taxonomico, y decidir explicitamente que hacer con las 273 retiradas: las DEMERGED traen su remapeo en la columna remapea_a, las DELETED no tienen destino",media,dfc00f2
R1-ACT-14,respuesta,confirmado,Reinstaurar Regulator recupera 502 proteinas que hoy no existen en el dataset servido,"1.389 filas con source_role=Regulator quedan con unified_role NULL y dataset_active=0. 502 proteinas no tienen ninguna otra fila activa, es decir desaparecen por completo del dataset servido; los canonicos mas afectados son p_body (253 filas/proteinas) y stress_granule (164). Detalle en regulator_invisible_by_mlo.csv",-,baja,dfc00f2
,nuevo,nuevo,"Un conteo de drivers sin filtrar por evidence_type mezcla 577 aserciones in vitro con 2.491 celulares, y marcar no es ponderar","unified_role=driver: 3.068 filas, de las cuales 577 (18,8%) provienen de LLPSDB (380) y PhasePro (197), recursos que solo emiten driver y cuya afirmacion es in vitro. evidence_type=in_vitro_llps las distingue en la fila pero no cambia su peso en ningun agregado","Al exponer evidence_type en la API, documentar que cualquier conteo o ranking de drivers debe filtrar o ponderar por evidence_type; es la mitad no hecha de R1-ROL-07",media,dfc00f2
,nuevo,nuevo,"La marca de bajo soporte documental no puede computarse uniformemente: 40 canonicos dependen de un unico PMID, pero para los canonicos de CD-CODE la marca correcta es membership_only","SELECT unified_mlo FROM mlo_annotations WHERE evidence IS NOT NULL GROUP BY 1 HAVING COUNT(DISTINCT evidence)=1 -> 40 canonicos (int04_pmid_por_canonico.csv). Ninguna de las 13.844 filas de CDCODE lleva evidence, asi que un canonico de CDCODE puro no tiene cero PMIDs por debilidad sino por alcance declarado del recurso",Computar la marca de un_solo_PMID solo sobre filas con evidence no nulo y marcar el resto como membership_only; es la mitad no hecha de R1-INT-04,media,dfc00f2
R1-ACT-16,respuesta,adjudicado,Las 64 equivalencias marcadas review quedan cerradas: 2 ya estaban resueltas en v5 y las 62 vivas estan todas adjudicadas,"Su propia fila del ledger dice que de los 64 originales quedan 62 vivos (Sh3gl2 y Spindle pole se resolvieron en v5) y que 9 + 53 = 62. Los 9 se adjudicaron en la ronda 2; los 53 quedan adjudicados en batch53_adjudicated.csv con veredicto, razon y accion por caso. No queda ninguna equivalencia sin veredicto",Cerrar R1-ACT-16. El curador humano ya no es el cuello de botella: lo que queda es aplicar las 21 acciones (12 errores + 9 sobregenerales),media,dfc00f2
R1-ACT-21b,respuesta,adjudicado,El limite entre cytoplasmic_protein_granule y cytoplasmic_rnp_granule es operativo hoy y la regla correcta es la presencia de un componente de union a ARN; hay una sola fila que la viola,"cytoplasmic_protein_granule: 22 filas / 18 proteinas / 3 etiquetas fuente, con genes APP, PRNP, HSPB2, TRIM5, TRIM32, TRIM63, SUP35, RVB1, STD1, numb, pon, Rims1, Rimbp2 y Sec16/Sec23/Sec24AB: ninguno es proteina de union a ARN. cytoplasmic_rnp_granule: 71 filas / 66 proteinas / 12 etiquetas, dominado por HNRNPA1/A2B1/D/L/R/U, PABPC1/PABPC4/PABPN1, RPS3/RPS4X/RPS8/RPS9/RPLP0, TIA1, FUS, TARDBP, FMR1, IGF2BP1, DDX6, pgl-1, mex-3, cgh-1. Solo 1 proteina esta en los dos: D8V196 (cpeb4.S de Xenopus laevis), que entra a RNP desde CDCODE (CPEB4 granule) y a protein_granule desde PhasePro (cytoplasmic protein granule)","Escribir la regla como: si algun componente es proteina de union a ARN, va a cytoplasmic_rnp_granule. Mover D8V196 a cytoplasmic_rnp_granule (CPEB4 es una RBP de union a elemento de poliadenilacion citoplasmatica). Revisar aparte las 3 filas de Sec16/Sec23/Sec24AB, que son COPII y probablemente no sean granulo de ningun tipo",media,dfc00f2
R1-ACT-20,respuesta,adjudicado,"Las tres vias de exclusion ya tienen motivo registrado en el 100% de los casos, pero no son un mecanismo: dos excluyen antes de la carga y una es visible en la base servida","database/mappings/mlo_mapping.csv (841 filas): 17 etiquetas van a DISCARD y 386 a synthetic_condensate, y las 403 tienen justificacion biologica no vacia. Ninguna de las 403 aparece en mlo_annotations (0 filas y 0 filas respectivamente): excluyen aguas arriba, en el mapeo. La tercera via es dataset_active=0, que son 1.389 filas, todas DrLLPS con source_role=Regulator, y esas SI estan en la base pero fuera del dataset servido. Las tres vias tienen motivos de naturaleza distinta: no-es-un-MLO (Arp2/3, matriz extracelular, microtubulo, complejos GO), no-es-natural (condensados sinteticos de CD-CODE) y rol-no-mapeable (Regulator)","Documentar las tres como un solo mecanismo con un campo motivo_exclusion de tres valores: no_es_mlo, no_natural, rol_no_mapeable. Registrar las 403 excluidas en el mapeo como filas con motivo en vez de dejarlas fuera silenciosamente, para que el conteo de cobertura del recurso sea auditable",media,dfc00f2
R1-ACT-18,respuesta,adjudicado,"El vocabulario de sufijos estructurales ya existe de hecho y esta concentrado: cuatro sufijos cubren 117 de los 177 terminos, pero hay 52 distintos y varios son sinonimos entre si","Sufijo final de los 177 terminos de mlo_vocabulary: condensate 49, body 42, granule 20, compartment 6, complex 5, foci 5, speckle 3, puncta 2, droplet 2, y 43 sufijos mas con 1 termino cada uno; 25 terminos no tienen sufijo compuesto. Los pares sinonimos evidentes son foci/focus/puncta (8 terminos entre los tres) y complex, que ademas es el sufijo que las etiquetas mal formadas del lote de 53 usan para colar complejos enzimaticos como organelos","Fijar un vocabulario cerrado de cinco sufijos: condensate, body, granule, compartment, foci (absorbiendo focus y puncta). Prohibir complex como sufijo de canonico: es el marcador sintactico de la clase de error mas frecuente del lote de 53",media,dfc00f2
R1-ACT-12,respuesta,adjudicado,"La marca de proteoma masivo de clientes es computable hoy y da 9 canonicos, con postsynaptic_density como el caso extremo","Canonicos donde un solo PMID aporta >=50% de las filas con evidence, con al menos 50 filas con PMID: postsynaptic_density 2.316/2.987 = 78% (PMID 23071613), p62_body 770/785 = 98% (37192622), nuclear_stress_body 567/582 = 97% (33134894), p_granule 549/764 = 72% (39354132), tau_condensate 268/270 = 99% (30068389), paraspeckle 191/306 = 62% (32458346), pyrenoid 177/183 = 97% (29481573), l_body 74/76 = 97% (34613784), cytoplasmic_rnp_granule 29/51 = 57% (17289661). Detalle completo en pmid_dominance_by_mlo.csv","Agregar por canonico dos campos derivados: pmid_dominante y fraccion_pmid_dominante. Marcar en la UI los 9 canonicos con fraccion >=0,5 como respaldados por un unico estudio de alto rendimiento. Es la misma marca que pide R1-INT-04, computada por canonico en vez de por conteo de PMIDs distintos",media,dfc00f2
R1-ACT-01b,respuesta,adjudicado,"Mover los PMIDs a una tabla de evidencia con clave foranea es necesario y el dimensionamiento es chico: 3.890 PMIDs distintos, pero 5.297 filas llevan mas de uno en el mismo campo","22.122 de 35.968 filas tienen evidence no nulo, con 3.890 PMIDs distintos. 5.297 filas contienen un separador (; o ,) en el campo, es decir varios PMIDs en una celda: son las que hacen que COUNT(DISTINCT evidence) no sea un conteo de publicaciones. Las 13.846 filas sin evidence son casi todas CDCODE (13.844 de sus filas no llevan ninguna)","Crear evidence(pmid PRIMARY KEY) y annotation_evidence(annotation_id, pmid) con clave foranea, explotando las 5.297 celdas multiples. Recien entonces la marca de R1-INT-04 y la de R1-ACT-12 se pueden computar sin parsear texto",alta,dfc00f2
R2-ADJ-receptor-cluster,respuesta,sin_fuente,Receptor cluster -> signaling_cluster: se mantiene en necesita_fuente y no lo adjudico,"La etiqueta mezcla agrupamientos de receptor de naturalezas distintas y el conjunto de 24 proteinas no permite decidir entre split y descarte sin leer las publicaciones de origen: la decision depende de que ensayo uso cada trabajo, dato que no esta en la base. Lo unico que agrego es medicion de alcance: los tres casos juntos son 35 proteinas, 0,2% de las 15.879 de la base",Leer la publicacion de origen. Es el unico trabajo de esta lista que no se puede resolver desde la base,baja,dfc00f2
R2-ADJ-perinucleolar,respuesta,sin_fuente,Peri-nucleolar condensate -> perinucleolar_compartment: se mantiene en necesita_fuente y no lo adjudico,"El compartimento perinucleolar es una estructura definida por su asociacion a ARN polimerasa III y marcadores propios; decidir si la etiqueta fuente nombra ese compartimento o un condensado perinucleolar generico requiere la publicacion original. Lo unico que agrego es medicion de alcance: los tres casos juntos son 35 proteinas, 0,2% de las 15.879 de la base",Leer la publicacion de origen. Es el unico trabajo de esta lista que no se puede resolver desde la base,baja,dfc00f2
R2-ADJ-orc1,respuesta,sin_fuente,ORC1 bodies -> replication_compartment: se mantiene en necesita_fuente y no lo adjudico,"SUV39H1, EZH2 y CBX son maquinaria de heterocromatina, no de replicacion, lo que sugiere que el mapeo esta mal; pero ORC1 si tiene funcion replicativa y decidir cual de las dos identidades nombra la etiqueta requiere la publicacion original. Lo unico que agrego es medicion de alcance: los tres casos juntos son 35 proteinas, 0,2% de las 15.879 de la base",Leer la publicacion de origen. Es el unico trabajo de esta lista que no se puede resolver desde la base,baja,dfc00f2
,nuevo,nuevo,"El debate de las tres rondas cubre el 23,8% de las filas y el 31,8% de las proteinas, pero el juicio biologico pendiente es el 0,4% de la base","Union de todos los items discutidos: 8.558 de 35.968 filas (23,8%), 5.056 de 15.879 proteinas (31,8%), 62 de 177 canonicos; 115 canonicos no aparecieron nunca. Se parte en dos bloques asimetricos: estructural 8.019 filas en 4 decisiones de ingenieria (retiro de synaptic_compartment 5.872, Regulator 1.389, organismo faltante 635, duplicados 123) y caso por caso 760 filas en 60 etiquetas. Dentro del bloque de casos, Mitochondrial cloud es 600 de las 760 y esta resuelto sin accion, asi que el juicio biologico pendiente son 160 filas. De los 53 casos, 19 tienen una sola proteina y 38 tienen dos o menos: 45 filas entre todos ellos","Cerrar por volumen y no por completitud: los 4 casos de >=4 proteinas mas las 4 decisiones estructurales cubren ~97% de las filas en disputa. Aplicar los 38 casos de <=2 proteinas en lote desde la columna action de batch53_adjudicated.csv, sin discutirlos uno por uno",alta,dfc00f2
