source_name,current_unified_mlo,source_db,proteins,annotations,target_total_proteins,share_of_target,tier,genes,n_genes,organisms,n_organisms,pmids,n_pmids,evidence_types,roles,original_rationale,adjudication,reason,action
Enzyme_shell proteins condensates,carboxysome,CDCODE,2,2,5,0.4,3_small_but_dominates_target,pduC|pduB,2,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720):2,1,,0,membership_only,ninguno,"Generic description of shell-plus-cargo architecture that also fits other bacterial microcompartments (metabolosomes, encapsulin); assigning it to carboxysome specifically is an over-commitment on 2 proteins.",error,"pduB y pduC de Salmonella typhimurium son el microcompartimento de 1,2-PROPANODIOL (Pdu), no un carboxisoma. Ambos son microcompartimentos bacterianos de cascara proteica, pero el carboxisoma fija CO2 y solo existe en cianobacterias y quimioautotrofos. Son 2 de las 5 filas de carboxysome",Reasignar a bacterial_microcompartment (o pdu_microcompartment); carboxysome debe quedar restringido a RuBisCO/carboxisoma real
rDNA locus,nucleolus,CDCODE,2,2,5011,0.0,4_low_impact,NET1|CDC14,2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c):2,1,,0,membership_only,ninguno,"The rDNA locus is a genomic region, not a compartment; it nucleates the nucleolus but is not identical to it. Genomic-locus labels should be handled by a distinct rule.",correct,"NET1 y CDC14 de S. cerevisiae son la via RENT, que reside en el locus rDNA nucleolar. nucleolus es correcto",Cerrar como correcto
A-bodies,nuclear_stress_body,CDCODE,2,2,585,0.003,4_low_impact,CDK1|VHL,2,Homo sapiens:2,1,,0,membership_only,ninguno,"Amyloid bodies (A-bodies) are acidosis/heat-induced nucleolar-rim amyloidogenic structures nucleated by rIGS RNA; nuclear stress bodies are HSATIII-nucleated and form at pericentromeric satellite III repeats. Different nucleating RNA, different site. Distinct terms in the current literature.",correct,Los A-bodies (amyloid bodies) son cuerpos nucleares inducidos por acidosis que nuclean sobre rIGS RNA y comparten mecanismo con el nuclear stress body; CDK1 y VHL son residentes descritos,Cerrar como correcto
euchromatin,chromatin_compartment,PhasePro,2,2,5,0.4,3_small_but_dominates_target,CBX2,1,Gallus gallus:1|Homo sapiens:1,2,30301810|30514760,2,in_vitro_llps,driver,Euchromatin and heterochromatin are opposite chromatin states; a single chromatin_compartment canonical that absorbs euchromatin while heterochromatin is separate is internally inconsistent.,correct,"Igual que 'Euchromatin' de CDCODE: CBX2, con dos PMIDs y evidence_type=in_vitro_llps. El mapeo es correcto","Cerrar como correcto; deduplicar contra 'Euchromatin' (misma etiqueta, distinta capitalizacion, mismo canonico)"
PARP5A–RNF146 condensate,signaling_condensate,CDCODE,2,2,15,0.133,4_low_impact,Rnf146|Tnks,2,Mus musculus:2,1,,0,membership_only,ninguno,Tankyrase-RNF146 condensates act in Wnt signalling via axin degradation; wnt_signaling_condensate exists as a separate canonical and is the closer target.,correct,"Tnks (tankirasa/PARP5A) y Rnf146 son el par PARsilacion-ubiquitinacion de la via Wnt. signaling_condensate es correcto, aunque wnt_signaling_condensate seria mas informativo y ya existe","Mover a wnt_signaling_condensate, que es el canonico especifico y ya esta en el vocabulario"
AFAP1-AS1 condensates,nuclear_speckle,CDCODE,2,2,710,0.003,4_low_impact,SRSF1|SRSF3,2,Homo sapiens:2,1,,0,membership_only,ninguno,AFAP1-AS1 is an antisense lncRNA; its condensates are not established speckle components.,correct,"SRSF1 y SRSF3 son factores de splicing SR, los residentes definitorios del nuclear speckle",Cerrar como correcto
presynaptic cytosol,presynaptic_active_zone,PhasePro,2,2,20,0.1,4_low_impact,SYN1|SYN2,2,Homo sapiens:2,1,29976799,1,in_vitro_llps,driver,"The presynaptic cytosol is a cellular region, not the active-zone condensate.",error,"SYN1 y SYN2 (sinapsinas) con PMID 29976799 (Milovanovic/De Camilli) forman el condensado de sinapsina que agrupa vesiculas sinapticas. Existe synapsin_condensate en el vocabulario, con 7 filas, y esta etiqueta esta en presynaptic_active_zone: la zona activa es la maquinaria de fusion, otra estructura","Reasignar a synapsin_condensate, junto con 'a matrix holding together clusters of synaptic vesicles (SVs)' del mismo recurso, que ya esta bien mapeada"
mitochondrial cloud,balbiani_body,PhasePro,2,2,887,0.002,4_low_impact,buc|tdrd6,2,Danio rerio:2,1,30086300,1,in_vitro_llps,driver,"Defensible as a synonym in Xenopus (the mitochondrial cloud is the nascent Balbiani body), but the 598 Xenopus proteins now dominate balbiani_body and are a bulk proteomic dataset rather than curated residents. Keep the merge, flag the evidence tier.",correct,buc (Bucky ball) y tdrd6 de Danio rerio con PMID 30086300: Buc es el organizador del cuerpo de Balbiani en pez cebra. Mismo veredicto que ya dieron para 'Mitochondrial cloud' de CDCODE,Cerrar como correcto
LANA body,viral_factory,CDCODE,2,2,45,0.044,4_low_impact,DAXX|LANA1,2,Homo sapiens:1|Human herpesvirus 8 type P (isolate GK18):1,2,,0,membership_only,ninguno,"KSHV LANA nuclear bodies tether the episome to host chromatin during latency; they are latency maintenance structures, not lytic replication factories.",correct,LANA1 de HHV-8 y DAXX humano: los cuerpos LANA son los focos de replicacion y tetheramiento episomal del KSHV. viral_factory es correcto,Cerrar como correcto
"RNA polymerase II, holoenzyme",transcriptional_condensate,PhasePro,2,2,163,0.012,4_low_impact,POLR2A|RPO21,2,Homo sapiens:1|Saccharomyces cerevisiae (strain ATCC 204508 / S288c):1,2,30127355,1,in_vitro_llps,driver,"Source label names a protein or complex, not a compartment. Mapping it to transcriptional_condensate asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",correct,"POLR2A y RPO21 con PMID 30127355 (Boehning 2018): la separacion de fases del CTD de Pol II. El mapeo a transcriptional_condensate es correcto. Es R1-INT-09, que nunca recibio veredicto","Cerrar como correcto y DEDUPLICAR: 'POLII clusters' del mismo recurso lleva las mismas 2 proteinas, el mismo PMID, el mismo rol y el mismo canonico"
LEF1/Beta-catenin condensate,wnt_signaling_condensate,CDCODE,2,2,7,0.286,4_low_impact,LEF1|CTNNB1,2,Homo sapiens:2,1,,0,membership_only,ninguno,LEF1/β-catenin condensates are transcriptional effectors downstream of Wnt; closer to a transcriptional condensate than to the membrane-proximal signalosome.,correct,LEF1 y CTNNB1 son el par transcripcional terminal de la via Wnt; wnt_signaling_condensate es el canonico correcto,Cerrar como correcto
EWS-FLI1,transcriptional_condensate,CDCODE,2,2,163,0.012,4_low_impact,EWSR1|FLI1,2,Homo sapiens:2,1,,0,membership_only,ninguno,"Source label names a protein or complex, not a compartment. Mapping it to transcriptional_condensate asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",correct_but_overgeneral,"EWSR1 y FLI1: la fusion EWS-FLI1 del sarcoma de Ewing forma condensados transcripcionales sobre microsatelites GGAA. El mapeo es correcto; el termino fuente nombra la PROTEINA DE FUSION, no la estructura",Mantener el mapeo; registrar 'EWS-FLI1' como contexto oncogenico en el eje correspondiente
Ccer1 condensate,nuclear_body,CDCODE,2,2,242,0.008,4_low_impact,Ccer1|H4c1,2,Mus musculus:2,1,,0,membership_only,ninguno,Uncharacterised protein assigned to the generic nuclear body class on 2 proteins.,correct,Ccer1 y H4c1 de raton. Ccer1 es una proteina de condensado nuclear en espermatocitos; nuclear_body es el generico adecuado,Cerrar como correcto
RBM15 condensate,nuclear_body,CDCODE,2,2,242,0.008,4_low_impact,RBM15|SRSF2,2,Homo sapiens:2,1,,0,membership_only,ninguno,RBM15 is an m6A adaptor concentrated in nuclear speckles; nuclear_speckle is the closer target.,correct,"RBM15 y SRSF2: RBM15 es un componente del complejo m6A que forma cuerpos nucleares. nuclear_body es correcto, aunque nuclear_speckle seria defendible por SRSF2",Cerrar como correcto
SPRI2 Nuclear Condensate,nuclear_body,CDCODE,2,2,242,0.008,4_low_impact,SRS5|SRS7,2,Arabidopsis thaliana:2,1,,0,membership_only,ninguno,Uncharacterised label; cannot be verified as a generic nuclear body.,correct,SRS5 y SRS7 de Arabidopsis son proteinas SR de splicing en cuerpos nucleares vegetales; nuclear_body es correcto,Cerrar como correcto
RH20 condensate,plant_signaling_condensate,CDCODE,2,2,7,0.286,4_low_impact,RH20|AGO2,2,Arabidopsis thaliana:2,1,,0,membership_only,ninguno,RH20 is a DEAD-box RNA helicase; its condensates are RNP granules rather than signalling assemblies.,correct,RH20 (helicasa DEAD-box) y AGO2 de Arabidopsis: componentes del silenciamiento por RNA pequeno en cuerpos citoplasmaticos vegetales. plant_signaling_condensate es un canonico laxo pero no incorrecto,"Cerrar como correcto; plant_signaling_condensate agrupa por reino y no por funcion, y merece revision como clase"
Germ plasm/Polar granule,germ_plasm,DrLLPS,2,2,8,0.25,4_low_impact,Tudor-SN|aub,2,Drosophila melanogaster:2,1,18590813|26950602,2,curator_assignment,ninguno,"Compound label joining germ plasm and polar granules with a slash; polar granules are the Drosophila germ-plasm RNP granules, so the merge is defensible but the label is unexploded.",correct,"aub (Aubergine, Piwi de Drosophila) y Tudor-SN son componentes canonicos del granulo polar / plasma germinal, con dos PMIDs y curator_assignment. germ_plasm es correcto",Cerrar como correcto
YBX1 condensate,exosomal_condensate,CDCODE,1,1,2,0.5,3_small_but_dominates_target,YBX1,1,Homo sapiens:1,1,,0,membership_only,ninguno,YBX1 condensates are described both as exosomal sorting hubs and as cytoplasmic stress-granule-related assemblies.,correct,"YBX1 empaqueta miRNA en exosomas y forma condensados; exosomal_condensate es el canonico correcto, y esta etiqueta es 1 de sus 2 filas",Cerrar como correcto
Fus1 condensate,fusion_focus,CDCODE,1,1,1,1.0,3_small_but_dominates_target,fus1,1,Schizosaccharomyces pombe (strain 972 / ATCC 24843):1,1,,0,membership_only,ninguno,Fus1 is a fission-yeast fusion-focus formin scaffold; the fusion focus is a mating structure distinct from cell-polarity condensates.,correct,fus1 de S. pombe es la formina del foco de fusion durante el apareamiento. fusion_focus es correcto y esta etiqueta es su UNICA fila,Cerrar como correcto; el canonico depende por completo de esta fila
Nuclear poly(A) domains,maternal_mrna_condensate,CDCODE,1,1,2,0.5,3_small_but_dominates_target,Pabpn1,1,Mus musculus:1,1,,0,membership_only,ninguno,"Nuclear poly(A) RNA domains are speckle-associated retention sites, not specifically maternal mRNA storage.",correct_but_overgeneral,"Pabpn1 de raton es la proteina de union a poli(A) nuclear, que forma dominios nucleares. maternal_mrna_condensate presupone contexto de ovocito que Pabpn1 no aporta",Reasignar a nuclear_body o a un termino de dominio poli(A) nuclear; maternal_mrna_condensate quedaria con 1 de sus 2 filas
Cobl condensate,actin_cortical_patch,CDCODE,1,1,5,0.2,4_low_impact,Cobl,1,Mus musculus:1,1,,0,membership_only,ninguno,"Source label names a protein or complex, not a compartment. Mapping it to actin_cortical_patch asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",correct,Cobl (Cordon-bleu) es un nucleador de actina; actin_cortical_patch es el canonico de condensado de actina disponible,Cerrar como correcto
Actin nucleator,actin_cortical_patch,CDCODE,1,1,5,0.2,4_low_impact,VASP,1,Homo sapiens:1,1,,0,membership_only,ninguno,"Source label names a protein or complex, not a compartment. Mapping it to actin_cortical_patch asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",correct_but_overgeneral,"VASP es un elongador/agrupador de actina, y el termino fuente nombra una CLASE FUNCIONAL de proteinas, no una estructura. El parche cortical de actina es una estructura de levadura; VASP humano no vive ahi","Mantener el mapeo solo si actin_cortical_patch se generaliza a condensado de actina; si no, marcar la etiqueta para descarte"
Ddx3xb condensates,cytoplasmic_rnp_granule,CDCODE,1,1,61,0.016,4_low_impact,ddx3xb,1,Danio rerio:1,1,,0,membership_only,ninguno,DDX3X condensates are most often described as stress-granule components; routing them to the generic RNP class loses that link.,correct,ddx3xb de Danio rerio es una helicasa DEAD-box que forma granulos de RNP citoplasmaticos; cytoplasmic_rnp_granule es correcto,Cerrar como correcto
Omega speckle,nuclear_speckle,CDCODE,1,1,710,0.001,4_low_impact,TBPH,1,Drosophila melanogaster:1,1,,0,membership_only,ninguno,"Drosophila omega speckles are hnRNP-storage nuclear bodies nucleated by hsr-omega lncRNA; functionally analogous to mammalian speckles but compositionally distinct and lncRNA-dependent. Merge is defensible on function, weak on composition; the single protein annotated is TBPH.",error,"Las omega speckles de Drosophila son cuerpos nucleares nucleados por el lncRNA hsromega que secuestran hnRNP, y son el analogo del nuclear stress body, no del speckle de splicing. Ademas la unica proteina es TBPH (TDP-43 de Drosophila), que no es una proteina SR",Reasignar a nuclear_stress_body; nuclear_speckle en esta base es el compartimento de factores SR
VRN1 nuclear body,nuclear_body,CDCODE,1,1,242,0.004,4_low_impact,VRN1,1,Arabidopsis thaliana:1,1,,0,membership_only,ninguno,VRN1 is a plant vernalisation factor; the generic nuclear_body class is defined on animal/yeast structures.,correct,"VRN1 de Arabidopsis participa en el silenciamiento de FLC por vernalizacion en cuerpos nucleares. nuclear_body es correcto, aunque polycomb_body seria mas preciso",Cerrar como correcto
TIAR2 neuronal granule,neuronal_granule,CDCODE,1,1,118,0.008,4_low_impact,tiar-2,1,Caenorhabditis elegans:1,1,,0,membership_only,ninguno,"The dossier's v4 decisions list axonal_tiar2_granule as a split; this row still routes TIAR-2 granules into the generic neuronal class, and the corresponding mapping line is the malformed CSV row.",correct_but_overgeneral,"tiar-2 de C. elegans. PhasePro anota la MISMA estructura como 'axonal TIAR-2 granules' y cae en axonal_tiar2_granule, un canonico de UNA sola fila. Dos recursos describen lo mismo y quedan en canonicos distintos","Unificar: mandar ambas al mismo canonico. Recomiendo neuronal_granule y descartar axonal_tiar2_granule, que es un canonico de una fila creado por sinonimia no resuelta"
CCR4-NOT1 complex,p_body,CDCODE,1,1,1507,0.001,4_low_impact,,0,Oryza sativa subsp. japonica:1,1,,0,membership_only,ninguno,"Source label names a protein or complex, not a compartment. Mapping it to p_body asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",error,"El termino fuente nombra un COMPLEJO PROTEICO (la deadenilasa CCR4-NOT). Es la misma clase de defecto que la holoenzima de Pol II. Ademas la unica proteina, de Oryza sativa, no tiene gene_name resoluble",Marcar para descarte como etiqueta de organelo; el p-body no se disuelve por perder esta fila (2.325 filas)
Plant growth regulator,plant_signaling_condensate,CDCODE,1,1,7,0.143,4_low_impact,TIFY6B,1,Arabidopsis thaliana:1,1,,0,membership_only,ninguno,"Source label names a protein or complex, not a compartment. Mapping it to plant_signaling_condensate asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",error,"El termino fuente nombra una CLASE DE MOLECULA REGULADORA, no una estructura. La proteina es TIFY6B (JAZ, represor de la senalizacion por jasmonato) de Arabidopsis","Marcar para descarte como etiqueta; si se conserva, reasignar a un condensado de senalizacion por jasmonato"
Trbd,p_granule,CDCODE,1,1,707,0.001,4_low_impact,trbd,1,Drosophila melanogaster:1,1,,0,membership_only,ninguno,"Source label names a protein or complex, not a compartment. Mapping it to p_granule asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",error,"El termino fuente es un NOMBRE DE GEN de Drosophila (trbd), no de estructura, igual que 'NONO' y 'BAG2'. p_granule tiene 833 filas y no depende de esta",Marcar para descarte como etiqueta de organelo
BAG2,proteasome_foci,CDCODE,1,1,16,0.062,4_low_impact,BAG2,1,Homo sapiens:1,1,,0,membership_only,ninguno,"Source label names a protein or complex, not a compartment. Mapping it to proteasome_foci asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",error,Nombre de gen usado como etiqueta. BAG2 es un co-chaperon que dirige sustratos a degradacion; proteasome_foci es plausible por funcion pero la etiqueta no nombra una estructura,Marcar para descarte como etiqueta; conservar la fila bajo un termino de foco de control de calidad si se decide mantenerla
ATG4B condensate,pre_autophagosomal_structure,CDCODE,1,1,7,0.143,4_low_impact,ATG4B,1,Homo sapiens:1,1,,0,membership_only,ninguno,ATG4B is the LC3-processing protease acting on autophagosome membranes rather than as a PAS scaffold.,correct,ATG4B es la cisteina-proteasa que procesa LC3/GABARAP en la biogenesis del autofagosoma. pre_autophagosomal_structure es el canonico correcto,Cerrar como correcto
PML/RARα microspeckle,pml_nuclear_body,PhaSepDB,1,1,798,0.001,4_low_impact,PML,1,Homo sapiens:1,1,37655965|39136995,2,cellular_requirement,driver,"In APL, PML/RARα disrupts normal PML bodies into microspeckles; these are the pathological disassembled state, arguably a distinct entity from the intact PML nuclear body.",correct,PML humano con dos PMIDs y evidence_type=cellular_requirement. Los microspeckles PML/RARalpha de la leucemia promielocitica son cuerpos PML disgregados por la fusion: pml_nuclear_body es correcto y conserva la relacion,"Cerrar como correcto; el contexto 'PML/RARalpha, APL' merece el eje de contexto patologico"
Osmotic stress granule,stress_granule,PhaSepDB,1,1,2838,0.0,4_low_impact,DCP5,1,Arabidopsis thaliana:1,1,38384836|39480925,2,cellular_requirement,driver,Hyperosmotic stress granules are kept separate as hyperosmotic_shock_foci; this near-synonym goes to the canonical stress granule instead. Choose one treatment for osmotic-stress assemblies.,correct,"DCP5 de Arabidopsis, con dos PMIDs y cellular_requirement. DCP5 es un factor de decapping que se acumula en granulos de estres; stress_granule es correcto y el calificador osmotico es el estimulo","Cerrar como correcto; 'osmotico' es contexto de estimulo, no un organelo distinto"
TBC1D2B condensate,signaling_condensate,CDCODE,1,1,15,0.067,4_low_impact,TBC1D2B,1,Homo sapiens:1,1,,0,membership_only,ninguno,TBC1D2B is a Rab GAP acting in membrane trafficking and lysosomal repair rather than signal transduction.,correct,TBC1D2B es una GAP de Rab7 que forma condensados de senalizacion; signaling_condensate es el generico adecuado,Cerrar como correcto
