source_name,current_unified_mlo,source_db,proteins,annotations,target_total_proteins,share_of_target,tier,genes,n_genes,organisms,n_organisms,pmids,n_pmids,evidence_types,roles,original_rationale
NEDD4 condensates,hippo_condensate,CDCODE,3,3,16,0.188,4_low_impact,NLK|YAP1|NEDD4,3,Homo sapiens:3,1,,0,membership_only,ninguno,NEDD4 ubiquitinates LATS1 and other Hippo components but is a promiscuous E3 ligase; assigning its condensates to the Hippo canonical over-commits.
membrane cluster,signaling_cluster,PhasePro,3,3,38,0.079,4_low_impact,NPHS1|WASL|NCK1,3,Homo sapiens:3,1,26553976,1,in_vitro_llps,driver,Generic membrane-clustering label with no signalling commitment in the source term.
53BP1 Mitotic Stress Body (MSBs),dna_damage_foci,CDCODE,3,3,63,0.048,4_low_impact,LMNA|RIF1|TP53BP1,3,Homo sapiens:3,1,,0,membership_only,ninguno,"MSBs are mitotic 53BP1 bodies that sequester unrepaired lesions through mitosis without recruiting repair machinery — deliberately repair-incompetent, unlike interphase damage foci. Related but not equivalent."
eukaryotic topoisomerase ii,chromatin_compartment,CDCODE,2,2,5,0.4,3_small_but_dominates_target,TOP2|TOP2A,2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c):1|Homo sapiens:1,2,,0,membership_only,ninguno,"Source label names a protein or complex, not a compartment. Mapping it to chromatin_compartment asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
Euchromatin,chromatin_compartment,CDCODE,2,2,5,0.4,3_small_but_dominates_target,CBX2,1,Gallus gallus:1|Homo sapiens:1,2,,0,membership_only,ninguno,Same as the lowercase variant.
Enzyme_shell proteins condensates,carboxysome,CDCODE,2,2,5,0.4,3_small_but_dominates_target,pduC|pduB,2,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720):2,1,,0,membership_only,ninguno,"Generic description of shell-plus-cargo architecture that also fits other bacterial microcompartments (metabolosomes, encapsulin); assigning it to carboxysome specifically is an over-commitment on 2 proteins."
rDNA locus,nucleolus,CDCODE,2,2,5011,0.0,4_low_impact,NET1|CDC14,2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c):2,1,,0,membership_only,ninguno,"The rDNA locus is a genomic region, not a compartment; it nucleates the nucleolus but is not identical to it. Genomic-locus labels should be handled by a distinct rule."
A-bodies,nuclear_stress_body,CDCODE,2,2,585,0.003,4_low_impact,CDK1|VHL,2,Homo sapiens:2,1,,0,membership_only,ninguno,"Amyloid bodies (A-bodies) are acidosis/heat-induced nucleolar-rim amyloidogenic structures nucleated by rIGS RNA; nuclear stress bodies are HSATIII-nucleated and form at pericentromeric satellite III repeats. Different nucleating RNA, different site. Distinct terms in the current literature."
euchromatin,chromatin_compartment,PhasePro,2,2,5,0.4,3_small_but_dominates_target,CBX2,1,Gallus gallus:1|Homo sapiens:1,2,30301810|30514760,2,in_vitro_llps,driver,Euchromatin and heterochromatin are opposite chromatin states; a single chromatin_compartment canonical that absorbs euchromatin while heterochromatin is separate is internally inconsistent.
PARP5A–RNF146 condensate,signaling_condensate,CDCODE,2,2,15,0.133,4_low_impact,Rnf146|Tnks,2,Mus musculus:2,1,,0,membership_only,ninguno,Tankyrase-RNF146 condensates act in Wnt signalling via axin degradation; wnt_signaling_condensate exists as a separate canonical and is the closer target.
AFAP1-AS1 condensates,nuclear_speckle,CDCODE,2,2,710,0.003,4_low_impact,SRSF1|SRSF3,2,Homo sapiens:2,1,,0,membership_only,ninguno,AFAP1-AS1 is an antisense lncRNA; its condensates are not established speckle components.
presynaptic cytosol,presynaptic_active_zone,PhasePro,2,2,20,0.1,4_low_impact,SYN1|SYN2,2,Homo sapiens:2,1,29976799,1,in_vitro_llps,driver,"The presynaptic cytosol is a cellular region, not the active-zone condensate."
mitochondrial cloud,balbiani_body,PhasePro,2,2,887,0.002,4_low_impact,buc|tdrd6,2,Danio rerio:2,1,30086300,1,in_vitro_llps,driver,"Defensible as a synonym in Xenopus (the mitochondrial cloud is the nascent Balbiani body), but the 598 Xenopus proteins now dominate balbiani_body and are a bulk proteomic dataset rather than curated residents. Keep the merge, flag the evidence tier."
LANA body,viral_factory,CDCODE,2,2,45,0.044,4_low_impact,DAXX|LANA1,2,Homo sapiens:1|Human herpesvirus 8 type P (isolate GK18):1,2,,0,membership_only,ninguno,"KSHV LANA nuclear bodies tether the episome to host chromatin during latency; they are latency maintenance structures, not lytic replication factories."
"RNA polymerase II, holoenzyme",transcriptional_condensate,PhasePro,2,2,163,0.012,4_low_impact,POLR2A|RPO21,2,Homo sapiens:1|Saccharomyces cerevisiae (strain ATCC 204508 / S288c):1,2,30127355,1,in_vitro_llps,driver,"Source label names a protein or complex, not a compartment. Mapping it to transcriptional_condensate asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
LEF1/Beta-catenin condensate,wnt_signaling_condensate,CDCODE,2,2,7,0.286,4_low_impact,LEF1|CTNNB1,2,Homo sapiens:2,1,,0,membership_only,ninguno,LEF1/β-catenin condensates are transcriptional effectors downstream of Wnt; closer to a transcriptional condensate than to the membrane-proximal signalosome.
EWS-FLI1,transcriptional_condensate,CDCODE,2,2,163,0.012,4_low_impact,EWSR1|FLI1,2,Homo sapiens:2,1,,0,membership_only,ninguno,"Source label names a protein or complex, not a compartment. Mapping it to transcriptional_condensate asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
Ccer1 condensate,nuclear_body,CDCODE,2,2,242,0.008,4_low_impact,Ccer1|H4c1,2,Mus musculus:2,1,,0,membership_only,ninguno,Uncharacterised protein assigned to the generic nuclear body class on 2 proteins.
RBM15 condensate,nuclear_body,CDCODE,2,2,242,0.008,4_low_impact,RBM15|SRSF2,2,Homo sapiens:2,1,,0,membership_only,ninguno,RBM15 is an m6A adaptor concentrated in nuclear speckles; nuclear_speckle is the closer target.
SPRI2 Nuclear Condensate,nuclear_body,CDCODE,2,2,242,0.008,4_low_impact,SRS5|SRS7,2,Arabidopsis thaliana:2,1,,0,membership_only,ninguno,Uncharacterised label; cannot be verified as a generic nuclear body.
RH20 condensate,plant_signaling_condensate,CDCODE,2,2,7,0.286,4_low_impact,RH20|AGO2,2,Arabidopsis thaliana:2,1,,0,membership_only,ninguno,RH20 is a DEAD-box RNA helicase; its condensates are RNP granules rather than signalling assemblies.
Germ plasm/Polar granule,germ_plasm,DrLLPS,2,2,8,0.25,4_low_impact,Tudor-SN|aub,2,Drosophila melanogaster:2,1,18590813|26950602,2,curator_assignment,ninguno,"Compound label joining germ plasm and polar granules with a slash; polar granules are the Drosophila germ-plasm RNP granules, so the merge is defensible but the label is unexploded."
YBX1 condensate,exosomal_condensate,CDCODE,1,1,2,0.5,3_small_but_dominates_target,YBX1,1,Homo sapiens:1,1,,0,membership_only,ninguno,YBX1 condensates are described both as exosomal sorting hubs and as cytoplasmic stress-granule-related assemblies.
Fus1 condensate,fusion_focus,CDCODE,1,1,1,1.0,3_small_but_dominates_target,fus1,1,Schizosaccharomyces pombe (strain 972 / ATCC 24843):1,1,,0,membership_only,ninguno,Fus1 is a fission-yeast fusion-focus formin scaffold; the fusion focus is a mating structure distinct from cell-polarity condensates.
Nuclear poly(A) domains,maternal_mrna_condensate,CDCODE,1,1,2,0.5,3_small_but_dominates_target,Pabpn1,1,Mus musculus:1,1,,0,membership_only,ninguno,"Nuclear poly(A) RNA domains are speckle-associated retention sites, not specifically maternal mRNA storage."
Cobl condensate,actin_cortical_patch,CDCODE,1,1,5,0.2,4_low_impact,Cobl,1,Mus musculus:1,1,,0,membership_only,ninguno,"Source label names a protein or complex, not a compartment. Mapping it to actin_cortical_patch asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
Actin nucleator,actin_cortical_patch,CDCODE,1,1,5,0.2,4_low_impact,VASP,1,Homo sapiens:1,1,,0,membership_only,ninguno,"Source label names a protein or complex, not a compartment. Mapping it to actin_cortical_patch asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
Ddx3xb condensates,cytoplasmic_rnp_granule,CDCODE,1,1,61,0.016,4_low_impact,ddx3xb,1,Danio rerio:1,1,,0,membership_only,ninguno,DDX3X condensates are most often described as stress-granule components; routing them to the generic RNP class loses that link.
Omega speckle,nuclear_speckle,CDCODE,1,1,710,0.001,4_low_impact,TBPH,1,Drosophila melanogaster:1,1,,0,membership_only,ninguno,"Drosophila omega speckles are hnRNP-storage nuclear bodies nucleated by hsr-omega lncRNA; functionally analogous to mammalian speckles but compositionally distinct and lncRNA-dependent. Merge is defensible on function, weak on composition; the single protein annotated is TBPH."
VRN1 nuclear body,nuclear_body,CDCODE,1,1,242,0.004,4_low_impact,VRN1,1,Arabidopsis thaliana:1,1,,0,membership_only,ninguno,VRN1 is a plant vernalisation factor; the generic nuclear_body class is defined on animal/yeast structures.
TIAR2 neuronal granule,neuronal_granule,CDCODE,1,1,118,0.008,4_low_impact,tiar-2,1,Caenorhabditis elegans:1,1,,0,membership_only,ninguno,"The dossier's v4 decisions list axonal_tiar2_granule as a split; this row still routes TIAR-2 granules into the generic neuronal class, and the corresponding mapping line is the malformed CSV row."
CCR4-NOT1 complex,p_body,CDCODE,1,1,1507,0.001,4_low_impact,,0,Oryza sativa subsp. japonica:1,1,,0,membership_only,ninguno,"Source label names a protein or complex, not a compartment. Mapping it to p_body asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
Plant growth regulator,plant_signaling_condensate,CDCODE,1,1,7,0.143,4_low_impact,TIFY6B,1,Arabidopsis thaliana:1,1,,0,membership_only,ninguno,"Source label names a protein or complex, not a compartment. Mapping it to plant_signaling_condensate asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
Trbd,p_granule,CDCODE,1,1,707,0.001,4_low_impact,trbd,1,Drosophila melanogaster:1,1,,0,membership_only,ninguno,"Source label names a protein or complex, not a compartment. Mapping it to p_granule asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
BAG2,proteasome_foci,CDCODE,1,1,16,0.062,4_low_impact,BAG2,1,Homo sapiens:1,1,,0,membership_only,ninguno,"Source label names a protein or complex, not a compartment. Mapping it to proteasome_foci asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
ATG4B condensate,pre_autophagosomal_structure,CDCODE,1,1,7,0.143,4_low_impact,ATG4B,1,Homo sapiens:1,1,,0,membership_only,ninguno,ATG4B is the LC3-processing protease acting on autophagosome membranes rather than as a PAS scaffold.
PML/RARα microspeckle,pml_nuclear_body,PhaSepDB,1,1,798,0.001,4_low_impact,PML,1,Homo sapiens:1,1,37655965|39136995,2,cellular_requirement,driver,"In APL, PML/RARα disrupts normal PML bodies into microspeckles; these are the pathological disassembled state, arguably a distinct entity from the intact PML nuclear body."
Osmotic stress granule,stress_granule,PhaSepDB,1,1,2838,0.0,4_low_impact,DCP5,1,Arabidopsis thaliana:1,1,38384836|39480925,2,cellular_requirement,driver,Hyperosmotic stress granules are kept separate as hyperosmotic_shock_foci; this near-synonym goes to the canonical stress granule instead. Choose one treatment for osmotic-stress assemblies.
TBC1D2B condensate,signaling_condensate,CDCODE,1,1,15,0.067,4_low_impact,TBC1D2B,1,Homo sapiens:1,1,,0,membership_only,ninguno,TBC1D2B is a Rab GAP acting in membrane trafficking and lysosomal repair rather than signal transduction.
Nur77 condensate,signaling_condensate,CDCODE,1,1,15,0.067,4_low_impact,NR4A1,1,Homo sapiens:1,1,,0,membership_only,ninguno,"Nur77/NR4A1 is a nuclear receptor and transcription factor; its condensates are transcriptional rather than cytoplasmic signalling assemblies, and the canonical is categorised Citoplasmático."
Tau inclusion,tau_condensate,CDCODE,1,1,274,0.004,4_low_impact,Mapt,1,Mus musculus:1,1,,0,membership_only,ninguno,Tau inclusions (neurofibrillary tangles) are irreversible amyloid aggregates; tau condensates are the reversible liquid precursor. Merging them collapses the phase transition the field distinguishes.
