source_name,current_unified_mlo,source_db,proteins,annotations,target_total_proteins,share_of_target,original_rationale,tier,adjudication,action
+TIP,spindle_apparatus,CDCODE,3.0,3.0,89,0.034,"Source label names a protein or complex, not a compartment. Mapping it to spindle_apparatus asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",4_low_impact,pending,
NONO,paraspeckle,CDCODE,3.0,3.0,273,0.011,"Source label names a protein or complex, not a compartment. Mapping it to paraspeckle asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",4_low_impact,pending,
HIV-1-MLO,viral_factory,PhaSepDB,3.0,3.0,45,0.067,"Uninformative source label; HIV-1 forms several distinct condensates (capsid, Gag assembly, Rev). Cannot be verified as a factory from the name.",4_low_impact,pending,
RPSA-VIM-ENO Condensate,viral_factory,CDCODE,3.0,3.0,45,0.067,"Host ribosomal/cytoskeletal/glycolytic proteins; assignment to a viral factory rests on the source's experimental context, not on the label.",4_low_impact,pending,
HIV core condensate,viral_factory,CDCODE,3.0,3.0,45,0.067,The HIV-1 capsid core is a proteinaceous shell that traffics the genome; describing it as a viral factory conflates a virion component with a replication compartment.,4_low_impact,pending,
membrane cluster,signaling_cluster,PhasePro,3.0,3.0,38,0.079,Generic membrane-clustering label with no signalling commitment in the source term.,4_low_impact,pending,
53BP1 Mitotic Stress Body (MSBs),dna_damage_foci,CDCODE,3.0,3.0,63,0.048,"MSBs are mitotic 53BP1 bodies that sequester unrepaired lesions through mitosis without recruiting repair machinery — deliberately repair-incompetent, unlike interphase damage foci. Related but not equivalent.",4_low_impact,pending,
A-bodies,nuclear_stress_body,CDCODE,2.0,2.0,585,0.003,"Amyloid bodies (A-bodies) are acidosis/heat-induced nucleolar-rim amyloidogenic structures nucleated by rIGS RNA; nuclear stress bodies are HSATIII-nucleated and form at pericentromeric satellite III repeats. Different nucleating RNA, different site. Distinct terms in the current literature.",4_low_impact,pending,
rDNA locus,nucleolus,CDCODE,2.0,2.0,5011,0.0,"The rDNA locus is a genomic region, not a compartment; it nucleates the nucleolus but is not identical to it. Genomic-locus labels should be handled by a distinct rule.",4_low_impact,pending,
mitochondrial cloud,balbiani_body,PhasePro,2.0,2.0,887,0.002,"Defensible as a synonym in Xenopus (the mitochondrial cloud is the nascent Balbiani body), but the 598 Xenopus proteins now dominate balbiani_body and are a bulk proteomic dataset rather than curated residents. Keep the merge, flag the evidence tier.",4_low_impact,pending,
LANA body,viral_factory,CDCODE,2.0,2.0,45,0.044,"KSHV LANA nuclear bodies tether the episome to host chromatin during latency; they are latency maintenance structures, not lytic replication factories.",4_low_impact,pending,
"RNA polymerase II, holoenzyme",transcriptional_condensate,PhasePro,2.0,2.0,163,0.012,"Source label names a protein or complex, not a compartment. Mapping it to transcriptional_condensate asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",4_low_impact,pending,
LEF1/Beta-catenin condensate,wnt_signaling_condensate,CDCODE,2.0,2.0,7,0.286,LEF1/β-catenin condensates are transcriptional effectors downstream of Wnt; closer to a transcriptional condensate than to the membrane-proximal signalosome.,4_low_impact,pending,
EWS-FLI1,transcriptional_condensate,CDCODE,2.0,2.0,163,0.012,"Source label names a protein or complex, not a compartment. Mapping it to transcriptional_condensate asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",4_low_impact,pending,
PARP5A–RNF146 condensate,signaling_condensate,CDCODE,2.0,2.0,15,0.133,Tankyrase-RNF146 condensates act in Wnt signalling via axin degradation; wnt_signaling_condensate exists as a separate canonical and is the closer target.,4_low_impact,pending,
AFAP1-AS1 condensates,nuclear_speckle,CDCODE,2.0,2.0,710,0.003,AFAP1-AS1 is an antisense lncRNA; its condensates are not established speckle components.,4_low_impact,pending,
presynaptic cytosol,presynaptic_active_zone,PhasePro,2.0,2.0,20,0.1,"The presynaptic cytosol is a cellular region, not the active-zone condensate.",4_low_impact,pending,
RH20 condensate,plant_signaling_condensate,CDCODE,2.0,2.0,7,0.286,RH20 is a DEAD-box RNA helicase; its condensates are RNP granules rather than signalling assemblies.,4_low_impact,pending,
Ccer1 condensate,nuclear_body,CDCODE,2.0,2.0,242,0.008,Uncharacterised protein assigned to the generic nuclear body class on 2 proteins.,4_low_impact,pending,
RBM15 condensate,nuclear_body,CDCODE,2.0,2.0,242,0.008,RBM15 is an m6A adaptor concentrated in nuclear speckles; nuclear_speckle is the closer target.,4_low_impact,pending,
SPRI2 Nuclear Condensate,nuclear_body,CDCODE,2.0,2.0,242,0.008,Uncharacterised label; cannot be verified as a generic nuclear body.,4_low_impact,pending,
Germ plasm/Polar granule,germ_plasm,DrLLPS,2.0,2.0,8,0.25,"Compound label joining germ plasm and polar granules with a slash; polar granules are the Drosophila germ-plasm RNP granules, so the merge is defensible but the label is unexploded.",4_low_impact,pending,
Cobl condensate,actin_cortical_patch,CDCODE,1.0,1.0,5,0.2,"Source label names a protein or complex, not a compartment. Mapping it to actin_cortical_patch asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",4_low_impact,pending,
Actin nucleator,actin_cortical_patch,CDCODE,1.0,1.0,5,0.2,"Source label names a protein or complex, not a compartment. Mapping it to actin_cortical_patch asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",4_low_impact,pending,
Ddx3xb condensates,cytoplasmic_rnp_granule,CDCODE,1.0,1.0,61,0.016,DDX3X condensates are most often described as stress-granule components; routing them to the generic RNP class loses that link.,4_low_impact,pending,
Omega speckle,nuclear_speckle,CDCODE,1.0,1.0,710,0.001,"Drosophila omega speckles are hnRNP-storage nuclear bodies nucleated by hsr-omega lncRNA; functionally analogous to mammalian speckles but compositionally distinct and lncRNA-dependent. Merge is defensible on function, weak on composition; the single protein annotated is TBPH.",4_low_impact,pending,
VRN1 nuclear body,nuclear_body,CDCODE,1.0,1.0,242,0.004,VRN1 is a plant vernalisation factor; the generic nuclear_body class is defined on animal/yeast structures.,4_low_impact,pending,
TIAR2 neuronal granule,neuronal_granule,CDCODE,1.0,1.0,118,0.008,"The dossier's v4 decisions list axonal_tiar2_granule as a split; this row still routes TIAR-2 granules into the generic neuronal class, and the corresponding mapping line is the malformed CSV row.",4_low_impact,pending,
CCR4-NOT1 complex,p_body,CDCODE,1.0,1.0,1507,0.001,"Source label names a protein or complex, not a compartment. Mapping it to p_body asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",4_low_impact,pending,
Plant growth regulator,plant_signaling_condensate,CDCODE,1.0,1.0,7,0.143,"Source label names a protein or complex, not a compartment. Mapping it to plant_signaling_condensate asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",4_low_impact,pending,
Trbd,p_granule,CDCODE,1.0,1.0,707,0.001,"Source label names a protein or complex, not a compartment. Mapping it to p_granule asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",4_low_impact,pending,
BAG2,proteasome_foci,CDCODE,1.0,1.0,16,0.062,"Source label names a protein or complex, not a compartment. Mapping it to proteasome_foci asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",4_low_impact,pending,
ATG4B condensate,pre_autophagosomal_structure,CDCODE,1.0,1.0,7,0.143,ATG4B is the LC3-processing protease acting on autophagosome membranes rather than as a PAS scaffold.,4_low_impact,pending,
PML/RARα microspeckle,pml_nuclear_body,PhaSepDB,1.0,1.0,798,0.001,"In APL, PML/RARα disrupts normal PML bodies into microspeckles; these are the pathological disassembled state, arguably a distinct entity from the intact PML nuclear body.",4_low_impact,pending,
Osmotic stress granule,stress_granule,PhaSepDB,1.0,1.0,2838,0.0,Hyperosmotic stress granules are kept separate as hyperosmotic_shock_foci; this near-synonym goes to the canonical stress granule instead. Choose one treatment for osmotic-stress assemblies.,4_low_impact,pending,
TBC1D2B condensate,signaling_condensate,CDCODE,1.0,1.0,15,0.067,TBC1D2B is a Rab GAP acting in membrane trafficking and lysosomal repair rather than signal transduction.,4_low_impact,pending,
Nur77 condensate,signaling_condensate,CDCODE,1.0,1.0,15,0.067,"Nur77/NR4A1 is a nuclear receptor and transcription factor; its condensates are transcriptional rather than cytoplasmic signalling assemblies, and the canonical is categorised Citoplasmático.",4_low_impact,pending,
Tau inclusion,tau_condensate,CDCODE,1.0,1.0,274,0.004,Tau inclusions (neurofibrillary tangles) are irreversible amyloid aggregates; tau condensates are the reversible liquid precursor. Merging them collapses the phase transition the field distinguishes.,4_low_impact,pending,
